name,mana_cost,cmc,type_line,power,toughness,colors,color_identity,produced_mana
Warrant // Warden,{W/U}{W/U} // {3}{W}{U},7.0,Instant // Sorcery,,,"['U', 'W']","['U', 'W']",
Sparkspitter,{2}{R},3.0,Creature — Elemental Spellshaper,1,3,['R'],['R'],
Hold the Perimeter,,0.0,Conspiracy,,,[],[],
Lightning Shrieker,{4}{R},5.0,Creature — Dragon,5,5,['R'],['R'],
"Atris, Oracle of Half-Truths",{2}{U}{B},4.0,Legendary Creature — Human Advisor,3,2,"['B', 'U']","['B', 'U']",
Diamond Faerie,{2}{G}{W}{U},5.0,Snow Creature — Faerie,3,3,"['G', 'U', 'W']","['G', 'U', 'W']",
Finale of Promise,{X}{R}{R},2.0,Sorcery,,,['R'],['R'],
"Laelia, the Blade Reforged",{2}{R},3.0,Legendary Creature — Spirit Warrior,2,2,['R'],['R'],
Cyclopean Tomb,{4},4.0,Artifact,,,[],[],
Grove of the Guardian,,0.0,Land,,,[],"['G', 'W']",['C']
Deadly Alliance,{4}{B},5.0,Instant,,,['B'],['B'],
Deep-Sea Terror,{4}{U}{U},6.0,Creature — Serpent,6,6,['U'],['U'],
Rhino,,0.0,Token Creature — Rhino,4,4,['G'],['G'],
Steamflogger Boss,{3}{R},4.0,Creature — Goblin Rigger,3,3,['R'],['R'],
Immaculate Magistrate,{3}{G},4.0,Creature — Elf Shaman,2,2,['G'],['G'],
Soul of Eternity,{5}{W}{W},7.0,Creature — Avatar,*,*,['W'],['W'],
Jaya Ballard,{2}{R}{R}{R},5.0,Legendary Planeswalker — Jaya,,,['R'],['R'],['R']
Llanowar,,0.0,Plane — Dominaria,,,[],['G'],['G']
Refresh,{2}{G},3.0,Instant,,,['G'],['G'],
Bone Picker,{3}{B},4.0,Creature — Bird,3,2,['B'],['B'],
Zodiac Ox,{3}{G},4.0,Creature — Ox,3,3,['G'],['G'],
"Alesha, Who Smiles at Death",{2}{R},3.0,Legendary Creature — Human Warrior,3,2,['R'],"['B', 'R', 'W']",
"Nissa, Vastwood Seer // Nissa, Sage Animist",,3.0,Legendary Creature — Elf Scout // Legendary Planeswalker — Nissa,,,,['G'],
Spurnmage Advocate,{W},1.0,Creature — Human Nomad,1,1,['W'],['W'],
"Linvala, Shield of Sea Gate",{1}{W}{U},3.0,Legendary Creature — Angel Wizard,3,3,"['U', 'W']","['U', 'W']",
Construct,,0.0,Token Artifact Creature — Construct,0,0,[],[],
Lake of the Dead,,0.0,Land,,,[],['B'],['B']
Consuming Vapors,{3}{B},4.0,Sorcery,,,['B'],['B'],
Spell Blast,{X}{U},1.0,Instant,,,['U'],['U'],
Pelakka Wurm,{4}{G}{G}{G},7.0,Creature — Wurm,7,7,['G'],['G'],
Ripscale Predator,{4}{R}{R},6.0,Creature — Dinosaur,6,5,['R'],['R'],
Twinblade Slasher,{G},1.0,Creature — Elf Warrior,1,1,['G'],['G'],
Beastmaster Ascension,{2}{G},3.0,Enchantment,,,['G'],['G'],
Plains,,0.0,Basic Land — Plains,,,[],['W'],['W']
Gemrazer,{3}{G},4.0,Creature — Beast,4,4,['G'],['G'],
Nezumi Cutthroat,{1}{B},2.0,Creature — Rat Warrior,2,1,['B'],['B'],
Zealous Persecution,{W}{B},2.0,Instant,,,"['B', 'W']","['B', 'W']",
"Lady Zhurong, Warrior Queen",{4}{G},5.0,Legendary Creature — Human Soldier Warrior,4,3,['G'],['G'],
Hunting Wilds,{3}{G},4.0,Sorcery,,,['G'],['G'],
Ethereal Grasp,{2}{U},3.0,Instant,,,['U'],['U'],
Manabarbs,{3}{R},4.0,Enchantment,,,['R'],['R'],
Temur Charm,{G}{U}{R},3.0,Instant,,,"['G', 'R', 'U']","['G', 'R', 'U']",
Necrotic Hex,{6}{B},7.0,Sorcery,,,['B'],['B'],
Hellion,,0.0,Token Creature — Hellion,4,4,['R'],['R'],
Inventor's Goggles,{1},1.0,Artifact — Equipment,,,[],[],
Blockbuster,{3}{R}{R},5.0,Enchantment,,,['R'],['R'],
Nature's Lore,{1}{G},2.0,Sorcery,,,['G'],['G'],
Eron the Relentless,{3}{R}{R},5.0,Legendary Creature — Human Rogue,5,2,['R'],['R'],
Colossus of Sardia,{9},9.0,Artifact Creature — Golem,9,9,[],[],
Krosan Verge,,0.0,Land,,,[],[],['C']
Monk Idealist,{2}{W},3.0,Creature — Human Monk Cleric,2,2,['W'],['W'],
Mercadian Atlas,{5},5.0,Artifact,,,[],[],
Drannith Magistrate,{1}{W},2.0,Creature — Human Wizard,1,3,['W'],['W'],
Thermokarst,{1}{G}{G},3.0,Sorcery,,,['G'],['G'],
Knight of the White Orchid,{W}{W},2.0,Creature — Human Knight,2,2,['W'],['W'],
Nomads' Assembly,{4}{W}{W},6.0,Sorcery,,,['W'],['W'],
Disintegrate,{X}{R},1.0,Sorcery,,,['R'],['R'],
"Ajani, the Greathearted",{2}{G}{W},4.0,Legendary Planeswalker — Ajani,,,"['G', 'W']","['G', 'W']",
Gift of Paradise,{2}{G},3.0,Enchantment — Aura,,,['G'],['G'],"['B', 'G', 'R', 'U', 'W']"
Telepathy,{U},1.0,Enchantment,,,['U'],['U'],
Temple of the False God,,0.0,Land,,,[],[],['C']
"Nikara, Lair Scavenger",{2}{B},3.0,Legendary Creature — Human Cleric,2,2,['B'],['B'],
Resurgent Belief,,0.0,Sorcery,,,['W'],['W'],
Rescuer Sphinx,{2}{U}{U},4.0,Creature — Sphinx,3,2,['U'],['U'],
Forest,,0.0,Basic Land — Forest,,,[],['G'],['G']
Elvish Healer,{2}{W},3.0,Creature — Elf Cleric,1,2,['W'],['W'],
Mirror Gallery,{5},5.0,Artifact,,,[],[],
Tempt with Discovery,{3}{G},4.0,Sorcery,,,['G'],['G'],
Underworld Dreams,{B}{B}{B},3.0,Enchantment,,,['B'],['B'],
Loxodon Convert,{3}{W},4.0,Creature — Phyrexian Elephant Soldier,4,2,['W'],['W'],
Grim Lavamancer,{R},1.0,Creature — Human Wizard,1,1,['R'],['R'],
Dread Specter,{3}{B},4.0,Creature — Specter,2,2,['B'],['B'],
Fleshformer,{2}{B},3.0,Creature — Human Wizard,2,2,['B'],"['B', 'G', 'R', 'U', 'W']",
Island,,0.0,Basic Land — Island,,,[],['U'],['U']
Call the Bloodline,{1}{B},2.0,Enchantment,,,['B'],['B'],
Needlepeak Spider,{3}{R},4.0,Creature — Spider,4,2,['R'],['R'],
Orazca Frillback,{2}{G},3.0,Creature — Dinosaur,4,2,['G'],['G'],
Search for Glory,{2}{W},3.0,Snow Sorcery,,,['W'],['W'],
Mist Raven,{2}{U}{U},4.0,Creature — Bird,2,2,['U'],['U'],
Contagion,{3}{B}{B},5.0,Instant,,,['B'],['B'],
Crystal Rod,{1},1.0,Artifact,,,[],[],
Ghor-Clan Bloodscale,{3}{R},4.0,Creature — Viashino Warrior,2,1,['R'],"['G', 'R']",
Dark Depths,,0.0,Legendary Snow Land,,,[],[],
Liliana of the Dark Realms,{2}{B}{B},4.0,Legendary Planeswalker — Liliana,,,['B'],['B'],['B']
Gruul War Chant,{2}{R}{G},4.0,Enchantment,,,"['G', 'R']","['G', 'R']",
Ur-Golem's Eye,{4},4.0,Artifact,,,[],[],['C']
Ghost Ship,{2}{U}{U},4.0,Creature — Spirit,2,4,['U'],['U'],
Siren's Call,{U},1.0,Instant,,,['U'],['U'],
Lightning Elemental,{3}{R},4.0,Creature — Elemental,4,1,['R'],['R'],
Mindslaver,{6},6.0,Legendary Artifact,,,[],[],
Cloud Elemental,{2}{U},3.0,Creature — Elemental,2,3,['U'],['U'],
Staunch Defenders,{3}{W}{W},5.0,Creature — Human Soldier,3,4,['W'],['W'],
Tormented Angel,{3}{W},4.0,Creature — Angel,1,5,['W'],['W'],
Cogworker's Puzzleknot,{2},2.0,Artifact,,,[],['W'],
Quest for the Holy Relic,{W},1.0,Enchantment,,,['W'],['W'],
Urza's Power Plant,,0.0,Land — Urza’s Power-Plant,,,[],[],['C']
Tolarian Scholar,{2}{U},3.0,Creature — Human Wizard,2,3,['U'],['U'],
Lightkeeper of Emeria,{3}{W},4.0,Creature — Angel,2,4,['W'],['W'],
Bloodlust Inciter,{R},1.0,Creature — Human Warrior,1,1,['R'],['R'],
Stormscale Anarch,{2}{R}{R},4.0,Creature — Viashino Shaman,2,2,['R'],['R'],
Drifting Shade,{3}{B},4.0,Creature — Shade,1,1,['B'],['B'],
Angel of Glory's Rise,{5}{W}{W},7.0,Creature — Angel,4,6,['W'],['W'],
Fiery Hellhound,{1}{R}{R},3.0,Creature — Elemental Dog,2,2,['R'],['R'],
Cloudform,{1}{U}{U},3.0,Enchantment,,,['U'],['U'],
Luxury Suite,,0.0,Land,,,[],"['B', 'R']","['B', 'R']"
Goblin Warchief,{1}{R}{R},3.0,Creature — Goblin Warrior,2,2,['R'],['R'],
Song of the Dryads,{2}{G},3.0,Enchantment — Aura,,,['G'],['G'],
Gorger Wurm,{3}{R}{G},5.0,Creature — Wurm,5,5,"['G', 'R']","['G', 'R']",
Goblin Lore,{1}{R},2.0,Sorcery,,,['R'],['R'],
Lava Serpent,{5}{R},6.0,Creature — Elemental Serpent,5,5,['R'],['R'],
Aethertorch Renegade,{2}{R},3.0,Creature — Human Rogue,1,2,['R'],['R'],
Mountain,,0.0,Basic Land — Mountain,,,[],['R'],['R']
Skarrg Guildmage,{R}{G},2.0,Creature — Human Shaman,2,2,"['G', 'R']","['G', 'R']",
Petals of Insight,{4}{U},5.0,Sorcery — Arcane,,,['U'],['U'],
Opportunity,{4}{U}{U},6.0,Instant,,,['U'],['U'],
Foster,{2}{G}{G},4.0,Enchantment,,,['G'],['G'],
Faerie Noble,{2}{G},3.0,Creature — Faerie Noble,1,2,['G'],['G'],
Temple of Epiphany,,0.0,Land,,,[],"['R', 'U']","['R', 'U']"
Solemn Simulacrum,{4},4.0,Artifact Creature — Golem,2,2,[],[],
Canker Abomination,{2}{B/G}{B/G},4.0,Creature — Treefolk Horror,6,6,"['B', 'G']","['B', 'G']",
Truga Jungle,,0.0,Plane — Ergamon,,,[],[],"['B', 'G', 'R', 'U', 'W']"
Relentless Assault,{2}{R}{R},4.0,Sorcery,,,['R'],['R'],
Urza's Power Plant,,0.0,Land — Urza’s Power-Plant,,,[],[],['C']
Steel Squirrel,{2},2.0,Artifact Creature — Squirrel,1,1,[],[],
Forest,,0.0,Basic Land — Forest,,,[],['G'],['G']
Dissipate,{1}{U}{U},3.0,Instant,,,['U'],['U'],
Taiga,,0.0,Land — Mountain Forest,,,[],"['G', 'R']","['G', 'R']"
Air Servant,{4}{U},5.0,Creature — Elemental,4,3,['U'],['U'],
Parallel Lives,{3}{G},4.0,Enchantment,,,['G'],['G'],
Smite the Monstrous,{3}{W},4.0,Instant,,,['W'],['W'],
Hour of Eternity,{X}{X}{U}{U}{U},3.0,Sorcery,,,['U'],['U'],
"Ghalta, Primal Hunger",{10}{G}{G},12.0,Legendary Creature — Elder Dinosaur,12,12,['G'],['G'],
Temple of the Dragon Queen,,0.0,Land,,,[],[],"['B', 'G', 'R', 'U', 'W']"
Dromad Purebred,{4}{W},5.0,Creature — Camel Beast,1,5,['W'],['W'],
Mutiny,{R},1.0,Sorcery,,,['R'],['R'],
Vedalken Ghoul,{U}{B},2.0,Creature — Vedalken Zombie,1,1,"['B', 'U']","['B', 'U']",
"Jolrael, Empress of Beasts",{3}{G}{G},5.0,Legendary Creature — Human Spellshaper,3,3,['G'],['G'],
Fleshgrafter,{2}{B},3.0,Creature — Human Warrior,2,2,['B'],['B'],
Malfegor,{2}{B}{B}{R}{R},6.0,Legendary Creature — Demon Dragon,6,6,"['B', 'R']","['B', 'R']",
Intangible Virtue,{1}{W},2.0,Enchantment,,,['W'],['W'],
Spined Wurm,{4}{G},5.0,Creature — Wurm,5,4,['G'],['G'],
Dingus Egg,{4},4.0,Artifact,,,[],[],
Brass's Bounty,{6}{R},7.0,Sorcery,,,['R'],['R'],"['B', 'G', 'R', 'U', 'W']"
Martyr of Sands,{W},1.0,Creature — Human Cleric,1,1,['W'],['W'],
Propaganda,{2}{U},3.0,Enchantment,,,['U'],['U'],
Granite Gargoyle,{2}{R},3.0,Creature — Gargoyle,2,2,['R'],['R'],
Kelpie Guide,{2}{U},3.0,Creature — Beast,2,2,['U'],['U'],
Flickerform,{1}{W},2.0,Enchantment — Aura,,,['W'],['W'],
Twiddle,{U},1.0,Instant,,,['U'],['U'],
Earwig Squad,{3}{B}{B},5.0,Creature — Goblin Rogue,5,3,['B'],['B'],
Chandra's Incinerator,{5}{R},6.0,Creature — Elemental,6,6,['R'],['R'],
Mudslide,{2}{R},3.0,Enchantment,,,['R'],['R'],
Sylvan Tutor,{G},1.0,Sorcery,,,['G'],['G'],
Mizzium Tank,{1}{R}{R},3.0,Artifact — Vehicle,3,2,['R'],['R'],
Time Elemental,{2}{U},3.0,Creature — Elemental,0,2,['U'],['U'],
Vengeance,{3}{W},4.0,Sorcery,,,['W'],['W'],
Buried Ruin,,0.0,Land,,,[],[],['C']
Windfall,{2}{U},3.0,Sorcery,,,['U'],['U'],
"Mangara, the Diplomat",{3}{W},4.0,Legendary Creature — Human Cleric,2,4,['W'],['W'],
Zombie Master,{1}{B}{B},3.0,Creature — Zombie,2,3,['B'],['B'],
"Alena, Kessig Trapper",{4}{R},5.0,Legendary Creature — Human Scout,4,3,['R'],['R'],['R']
Beast Attack,{2}{G}{G}{G},5.0,Instant,,,['G'],['G'],
Zuran Orb,{0},0.0,Artifact,,,[],[],
Armored Pegasus,{1}{W},2.0,Creature — Pegasus,1,2,['W'],['W'],
Forest,,0.0,Basic Land — Forest,,,[],['G'],['G']
Kjeldoran Elite Guard,{3}{W},4.0,Creature — Human Soldier,2,2,['W'],['W'],
Might Sliver,{4}{G},5.0,Creature — Sliver,2,2,['G'],['G'],
Pillage,{1}{R}{R},3.0,Sorcery,,,['R'],['R'],
Neverwinter Dryad,{G},1.0,Creature — Dryad,1,1,['G'],['G'],
Shenanigans,{1}{R},2.0,Sorcery,,,['R'],['R'],
Nephalia,,0.0,Plane — Innistrad,,,[],[],
Personal Incarnation,{3}{W}{W}{W},6.0,Creature — Avatar Incarnation,6,6,['W'],['W'],
Graven Cairns,,0.0,Land,,,[],"['B', 'R']","['B', 'C', 'R']"
Goblin Offensive,{X}{1}{R}{R},3.0,Sorcery,,,['R'],['R'],
Lurking Informant,{1}{U/B},2.0,Creature — Human Rogue,1,2,"['B', 'U']","['B', 'U']",
Grove Rumbler,{2}{R}{G},4.0,Creature — Elemental,3,3,"['G', 'R']","['G', 'R']",
Dusk Charger,{3}{B},4.0,Creature — Horse,3,3,['B'],['B'],
Knight of the Widget,{2}{W},3.0,Artifact Creature — Cyborg Knight,*,*,['W'],['W'],
Unruly Mob,{1}{W},2.0,Creature — Human,1,1,['W'],['W'],
Ferocious Zheng,{2}{G}{G},4.0,Creature — Cat Beast,4,4,['G'],['G'],
Basic Conjuration,{1}{G}{G},3.0,Sorcery — Lesson,,,['G'],['G'],
Ichor Wellspring,{2},2.0,Artifact,,,[],[],
Shattered Angel,{3}{W}{W},5.0,Creature — Phyrexian Angel,3,3,['W'],['W'],
Celestial Ancient,{3}{W}{W},5.0,Creature — Elemental,3,3,['W'],['W'],
Gravebreaker Lamia,{4}{B},5.0,Enchantment Creature — Snake Lamia,4,4,['B'],['B'],
Verdurous Gearhulk,{3}{G}{G},5.0,Artifact Creature — Construct,4,4,['G'],['G'],
Memory Lapse // Memory Lapse,,0.0,Card // Card,,,,[],
Coastline Chimera,{3}{U},4.0,Creature — Chimera,1,5,['U'],"['U', 'W']",
Harrow,{2}{G},3.0,Instant,,,['G'],['G'],
Garruk Wildspeaker,{2}{G}{G},4.0,Legendary Planeswalker — Garruk,,,['G'],['G'],
Fierce Invocation,{4}{R},5.0,Sorcery,,,['R'],['R'],
Humble,{1}{W},2.0,Instant,,,['W'],['W'],
Ranger's Guile,{G},1.0,Instant,,,['G'],['G'],
Crushing Canopy,{2}{G},3.0,Instant,,,['G'],['G'],
Fire-Lit Thicket,,0.0,Land,,,[],"['G', 'R']","['C', 'G', 'R']"
Standing Troops,{2}{W},3.0,Creature — Human Soldier,1,4,['W'],['W'],
Mountain,,0.0,Basic Land — Mountain,,,[],['R'],['R']
Cremate,{B},1.0,Instant,,,['B'],['B'],
Word of Command,{B}{B},2.0,Instant,,,['B'],['B'],
Bog Wraith,{3}{B},4.0,Creature — Wraith,3,3,['B'],['B'],
"Danitha Capashen, Paragon",{2}{W},3.0,Legendary Creature — Human Knight,2,2,['W'],['W'],
Priest of Iroas,{R},1.0,Creature — Human Cleric,1,1,['R'],"['R', 'W']",
Professor Onyx,{4}{B}{B},6.0,Legendary Planeswalker — Liliana,,,['B'],['B'],
Skyclave Cleric // Skyclave Basilica,,2.0,Creature — Kor Cleric // Land,,,,['W'],['W']
Blot Out the Sky,{X}{W}{B},2.0,Sorcery,,,"['B', 'W']","['B', 'W']",
Tiger Claws,{2}{G},3.0,Enchantment — Aura,,,['G'],['G'],
